"prefix","first_name","middle_name","last_name","suffix","pronouns","title","primary_specialty","classifications","taxonomy_codes","clinical_services","marital_status","telemed_exp","fluent_languages","cms_medicare_specialty_codes","work_email","personal_email","mobile_phone_number","mobile_phone_carrier_name","pager_number","fax_number","emergency_contact_name","emergency_contact_email","emergency_contact_phone","emergency_contact_relationship","social_security_number","npi_number","last_updated","enumeration_date","driver_license_or_id_number","state_issued","issue_date","expiration_date"
"","Barbara","J","Robinson","","","MD","Surgery","","","","","","","","barbara.robinson@example.com","robinson.barbara@example.com","","","","","","","","","","1229403475","2025-06-19","","","","",""
"","David","C","Smith","","","NP","Dermatology","","","","","","","","david.smith@example.com","smith.david@example.com","","","","","","","","","","1031286531","2025-06-30","","","","",""
"","Thomas","Z","Johnson","","","PhD","Dermatology","","","","","","","","thomas.johnson@example.com","johnson.thomas@example.com","","","","","","","","","","1775917432","2025-06-28","","","","",""
"","John","G","Scott","","","PhD","Cardiology","","","","","","","","john.scott@example.com","scott.john@example.com","","","","","","","","","","1425939149","2025-06-06","","","","",""
"","Anthony","C","Harris","","","PA","Family Medicine","","","","","","","","anthony.harris@example.com","harris.anthony@example.com","","","","","","","","","","1499484367","2025-04-09","","","","",""
"","Margaret","L","Lewis","","","PA","Family Medicine","","","","","","","","margaret.lewis@example.com","lewis.margaret@example.com","","","","","","","","","","1433563508","2025-06-24","","","","",""
"","Donald","D","Miller","","","MD","Cardiology","","","","","","","","donald.miller@example.com","miller.donald@example.com","","","","","","","","","","1381221353","2025-05-12","","","","",""
"","Thomas","H","Martin","","","MD","Psychiatry","","","","","","","","thomas.martin@example.com","martin.thomas@example.com","","","","","","","","","","1883951091","2025-03-10","","","","",""
"","Donald","L","Young","","","PA","Dermatology","","","","","","","","donald.young@example.com","young.donald@example.com","","","","","","","","","","1881435690","2025-04-28","","","","",""
"","Christopher","G","Gonzalez","","","PA","Family Medicine","","","","","","","","christopher.gonzalez@example.com","gonzalez.christopher@example.com","","","","","","","","","","1217547165","2025-03-15","","","","",""
"","Karen","R","Thomas","","","RN","Psychiatry","","","","","","","","karen.thomas@example.com","thomas.karen@example.com","","","","","","","","","","1525376784","2025-06-08","","","","",""
"","Michelle","Y","Jones","","","NP","Psychiatry","","","","","","","","michelle.jones@example.com","jones.michelle@example.com","","","","","","","","","","1887862713","2025-06-01","","","","",""
"","Susan","C","Martin","","","DO","Family Medicine","","","","","","","","susan.martin@example.com","martin.susan@example.com","","","","","","","","","","1324065703","2025-06-13","","","","",""
"","Susan","V","Williams","","","DO","Pediatrics","","","","","","","","susan.williams@example.com","williams.susan@example.com","","","","","","","","","","1327905889","2025-05-30","","","","",""
"","Emily","L","Rodriguez","","","MD","Cardiology","","","","","","","","emily.rodriguez@example.com","rodriguez.emily@example.com","","","","","","","","","","1749244418","2025-04-15","","","","",""
"","Donald","V","Anderson","","","DO","Surgery","","","","","","","","donald.anderson@example.com","anderson.donald@example.com","","","","","","","","","","1827015570","2025-04-01","","","","",""
"","Susan","M","Torres","","","DO","Psychiatry","","","","","","","","susan.torres@example.com","torres.susan@example.com","","","","","","","","","","1320987538","2025-05-05","","","","",""
"","Thomas","S","Ramirez","","","RN","Surgery","","","","","","","","thomas.ramirez@example.com","ramirez.thomas@example.com","","","","","","","","","","1510847781","2025-05-12","","","","",""
"","Susan","R","Garcia","","","DO","Pediatrics","","","","","","","","susan.garcia@example.com","garcia.susan@example.com","","","","","","","","","","1275446506","2025-06-07","","","","",""
"","Daniel","J","Clark","","","MD","Pediatrics","","","","","","","","daniel.clark@example.com","clark.daniel@example.com","","","","","","","","","","1834334179","2025-06-08","","","","",""
"","Karen","N","Jackson","","","PA","Family Medicine","","","","","","","","karen.jackson@example.com","jackson.karen@example.com","","","","","","","","","","1529930759","2025-04-25","","","","",""
"","Karen","Y","Hill","","","PA","Cardiology","","","","","","","","karen.hill@example.com","hill.karen@example.com","","","","","","","","","","1677923209","2025-05-04","","","","",""
"","Joseph","C","King","","","DO","Cardiology","","","","","","","","joseph.king@example.com","king.joseph@example.com","","","","","","","","","","1173100045","2025-06-24","","","","",""
"","Margaret","P","White","","","DO","Pediatrics","","","","","","","","margaret.white@example.com","white.margaret@example.com","","","","","","","","","","1952211795","2025-05-31","","","","",""
"","Robert","Z","Brown","","","PhD","Psychiatry","","","","","","","","robert.brown@example.com","brown.robert@example.com","","","","","","","","","","1736244150","2025-05-07","","","","",""
"","Thomas","E","Harris","","","PA","Internal Medicine","","","","","","","","thomas.harris@example.com","harris.thomas@example.com","","","","","","","","","","1054453743","2025-04-11","","","","",""
"","Michael","S","Brown","","","RN","Dermatology","","","","","","","","michael.brown@example.com","brown.michael@example.com","","","","","","","","","","1081708266","2025-03-12","","","","",""
"","Thomas","D","Miller","","","DO","Surgery","","","","","","","","thomas.miller@example.com","miller.thomas@example.com","","","","","","","","","","1249675505","2025-06-11","","","","",""
"","Patricia","Z","Jackson","","","PA","Surgery","","","","","","","","patricia.jackson@example.com","jackson.patricia@example.com","","","","","","","","","","1687066306","2025-05-28","","","","",""
"","Barbara","H","Brown","","","PhD","Psychiatry","","","","","","","","barbara.brown@example.com","brown.barbara@example.com","","","","","","","","","","1605834086","2025-06-21","","","","",""
"","David","I","Martin","","","PA","Surgery","","","","","","","","david.martin@example.com","martin.david@example.com","","","","","","","","","","1922426283","2025-06-03","","","","",""
"","Donna","Y","White","","","NP","Cardiology","","","","","","","","donna.white@example.com","white.donna@example.com","","","","","","","","","","1816640459","2025-04-22","","","","",""
"","Richard","Q","Young","","","PhD","Psychiatry","","","","","","","","richard.young@example.com","young.richard@example.com","","","","","","","","","","1358047746","2025-06-26","","","","",""
"","Nancy","U","Hernandez","","","DO","Pediatrics","","","","","","","","nancy.hernandez@example.com","hernandez.nancy@example.com","","","","","","","","","","1568625229","2025-04-22","","","","",""
"","Anthony","Z","Sanchez","","","MD","Psychiatry","","","","","","","","anthony.sanchez@example.com","sanchez.anthony@example.com","","","","","","","","","","1264586163","2025-06-25","","","","",""
